Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,plot,cover_url,plot_combined,genre
844,tt0208092,2022-11-26,2022-11-26,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Snatch,https://www.imdb.com/title/tt0208092/,movie,8.2,104.0,2000,"Comedy, Crime",857261,2000-08-23,Guy Ritchie,,,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.
Comedy, Crime
Guy Ritchie","Comedy, Crime"
845,tt0251160,2022-11-30,2022-11-30,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,John Q,https://www.imdb.com/title/tt0251160/,movie,7.1,116.0,2002,"Crime, Drama, Thriller",135928,2002-02-15,Nick Cassavetes,,,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,https://m.media-amazon.com/images/M/MV5BMTcxNTQ1MzAyOF5BMl5BanBnXkFtZTYwNDg0ODk4.jpg,"John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.
Crime, Drama, Thriller
Nick Cassavetes","Crime, Drama, Thriller"
846,tt0375752,2022-11-30,2022-11-30,,Feather Pimento,https://www.imdb.com/title/tt0375752/,short,6.7,5.0,2001,Short,16,2001-10-10,Kevin Jordan,,,,,"
Short
Kevin Jordan",Short
847,tt0096531,2022-11-30,2022-11-30,"In the near future, a human cop and his alien partner fight crime and discrimination in Los Angeles.",Alien Nation,https://www.imdb.com/title/tt0096531/,tvSeries,6.9,60.0,1989,"Crime, Drama, Sci-Fi",5220,1989-09-18,,,,"In the near future, a human cop and his alien partner fight crime and discrimination in Los Angeles.",https://m.media-amazon.com/images/M/MV5BMTc4MzM2Mzc4OF5BMl5BanBnXkFtZTcwNzg4MjU2MQ@@.jpg,"In the near future, a human cop and his alien partner fight crime and discrimination in Los Angeles.
Crime, Drama, Sci-Fi
nan","Crime, Drama, Sci-Fi"
848,tt9319668,2022-12-02,2022-12-02,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,1899,https://www.imdb.com/title/tt9319668/,tvSeries,7.5,60.0,2022,"Drama, Mystery",72220,2022-09-12,,,,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,https://m.media-amazon.com/images/M/MV5BMTU1N2I5OTgtNDE2MS00ZTdmLWJlODktNDMwMGVmNzY5NmUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg,"Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.
Drama, Mystery
nan","Drama, Mystery"
849,tt1386691,2022-12-03,2022-12-03,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,Shimmer Lake,https://www.imdb.com/title/tt1386691/,movie,6.3,86.0,2017,"Action, Crime, Drama, Horror, Mystery, Romance, Thriller",15258,2017-06-09,Oren Uziel,,,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,https://m.media-amazon.com/images/M/MV5BZGQ5NzVjZGMtOGM5NC00NjI4LTg5NzQtMjYzOWExMmE1NWYwXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.
Action, Crime, Drama, Horror, Mystery, Romance, Thriller
Oren Uziel","Action, Crime, Drama, Horror, Mystery, Romance, Thriller"
850,tt0094625,2022-12-05,2022-12-05,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Akira,https://www.imdb.com/title/tt0094625/,movie,8.0,124.0,1988,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",188197,1988-07-16,Katsuhiro Ôtomo,7.0,2022-02-17,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@.jpg,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.
Animation, Action, Drama, Fantasy, Sci-Fi, Thriller
Katsuhiro Ôtomo","Animation, Action, Drama, Fantasy, Sci-Fi, Thriller"
851,tt2392672,2022-12-06,2022-12-06,"A wanna-be director is given 48 hours by a producer to find the best groan of pain, worthy of an Oscar, as the only condition to back his film.",Réalité,https://www.imdb.com/title/tt2392672/,movie,6.9,95.0,2014,Comedy,6198,2014-08-28,Quentin Dupieux,,,"A wanna-be director is given 48 hours by a producer to find the best groan of pain, worthy of an Oscar, as the only condition to back his film.",https://m.media-amazon.com/images/M/MV5BMTcyNDc2Nzg4MV5BMl5BanBnXkFtZTgwNTkwOTMxNTE@.jpg,"A wanna-be director is given 48 hours by a producer to find the best groan of pain, worthy of an Oscar, as the only condition to back his film.
Comedy
Quentin Dupieux",Comedy
852,tt1901040,2022-12-06,2022-12-06,"Dolph Springer wakes up one morning to realize he has lost the love of his life, his dog, Paul. During his quest to get Paul (and his life) back, Dolph radically changes the lives of others -- risking his sanity all the while.",Wrong,https://www.imdb.com/title/tt1901040/,movie,6.2,94.0,2012,"Comedy, Mystery",10060,2012-01-21,Quentin Dupieux,,,"Dolph Springer wakes up one morning to realize he has lost the love of his life, his dog, Paul. During his quest to get Paul (and his life) back, Dolph radically changes the lives of others -- risking his sanity all the while.",https://m.media-amazon.com/images/M/MV5BNjQ2ODY2Njk4Ml5BMl5BanBnXkFtZTgwNzU4MjU4MDE@.jpg,"Dolph Springer wakes up one morning to realize he has lost the love of his life, his dog, Paul. During his quest to get Paul (and his life) back, Dolph radically changes the lives of others -- risking his sanity all the while.
Comedy, Mystery
Quentin Dupieux","Comedy, Mystery"
853,tt1612774,2022-12-06,2022-12-06,"A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.",Rubber,https://www.imdb.com/title/tt1612774/,movie,5.7,82.0,2010,"Comedy, Fantasy, Horror",37920,2010-05-15,Quentin Dupieux,,,"A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.",https://m.media-amazon.com/images/M/MV5BZTY2NTY4MzctMWNkYy00NWM4LTliOWQtMWExZDU1ZWQxNTQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg,"A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.
Comedy, Fantasy, Horror
Quentin Dupieux","Comedy, Fantasy, Horror"
854,tt0043456,2022-12-07,2022-12-07,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",The Day the Earth Stood Still,https://www.imdb.com/title/tt0043456/,movie,7.8,92.0,1951,"Drama, Sci-Fi",82640,1951-09-18,Robert Wise,,,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",https://m.media-amazon.com/images/M/MV5BMTU5NTBmYTAtOTgyYi00NGM0LWE0ODctZjNiYWM5MmIxYzE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
Drama, Sci-Fi
Robert Wise","Drama, Sci-Fi"
855,tt0093624,2022-12-08,2022-12-08,"Ten teenagers party at an abandoned funeral parlor on Halloween night. When an evil force awakens, demonic spirits keep them from leaving and turn their gathering into a living Hell.",Night of the Demons,https://www.imdb.com/title/tt0093624/,movie,6.1,90.0,1988,"Comedy, Fantasy, Horror",17070,1988-04-27,Kevin Tenney,,,"Ten teenagers party at an abandoned funeral parlor on Halloween night. When an evil force awakens, demonic spirits keep them from leaving and turn their gathering into a living Hell.",https://m.media-amazon.com/images/M/MV5BZjU2Y2VmMGYtN2Y3OC00OGMwLWFlYTMtOTRlMTE5NDgwODU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"Ten teenagers party at an abandoned funeral parlor on Halloween night. When an evil force awakens, demonic spirits keep them from leaving and turn their gathering into a living Hell.
Comedy, Fantasy, Horror
Kevin Tenney","Comedy, Fantasy, Horror"
856,tt8143990,2022-12-08,2022-12-08,A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,Kajillionaire,https://www.imdb.com/title/tt8143990/,movie,6.4,104.0,2020,"Comedy, Crime, Drama",19407,2020-01-25,Miranda July,,,A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,https://m.media-amazon.com/images/M/MV5BNTkxYzUxMDQtZWRiNy00ZWUwLWIxYjMtNWExODBmMzRkZGVmXkEyXkFqcGdeQXVyNjU1NzU3MzE@.jpg,"A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.
Comedy, Crime, Drama
Miranda July","Comedy, Crime, Drama"
857,tt0061722,2022-12-10,2022-12-10,A disillusioned college graduate finds himself torn between his older lover and her daughter.,The Graduate,https://www.imdb.com/title/tt0061722/,movie,8.0,106.0,1967,"Comedy, Drama, Romance",274884,1967-12-20,Mike Nichols,,,A disillusioned college graduate finds himself torn between his older lover and her daughter.,https://m.media-amazon.com/images/M/MV5BMTQ0ODc4MDk4Nl5BMl5BanBnXkFtZTcwMTEzNzgzNA@@.jpg,"A disillusioned college graduate finds himself torn between his older lover and her daughter.
Comedy, Drama, Romance
Mike Nichols","Comedy, Drama, Romance"
858,tt0064115,2022-12-10,2022-12-10,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.0,110.0,1969,"Biography, Crime, Drama, Western",217269,1969-09-23,George Roy Hill,,,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@.jpg,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.
Biography, Crime, Drama, Western
George Roy Hill","Biography, Crime, Drama, Western"
859,tt0067116,2022-12-10,2022-12-10,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.7,104.0,1971,"Action, Crime, Drama, Thriller",124251,1971-10-07,William Friedkin,,,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",https://m.media-amazon.com/images/M/MV5BOTZhY2E3NmItMGIwNi00OTA2LThkYmEtODFiZTM0NGI0ZWU5XkEyXkFqcGdeQXVyNTc1NTQxODI@.jpg,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.
Action, Crime, Drama, Thriller
William Friedkin","Action, Crime, Drama, Thriller"
860,tt0074860,2022-12-10,2022-12-10,"After the shocking murder of his older brother, a New York history student finds himself inexplicably hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.",Marathon Man,https://www.imdb.com/title/tt0074860/,movie,7.4,125.0,1976,"Crime, Drama, Thriller",65050,1976-10-06,John Schlesinger,,,"After the shocking murder of his older brother, a New York history student finds himself inexplicably hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.",https://m.media-amazon.com/images/M/MV5BYTcwNGYwNzgtNDBlZC00NTI4LTlmNDEtZmU1NTIxMGZmMDIwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@.jpg,"After the shocking murder of his older brother, a New York history student finds himself inexplicably hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.
Crime, Drama, Thriller
John Schlesinger","Crime, Drama, Thriller"
861,tt0129167,2022-12-10,2022-12-10,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,The Iron Giant,https://www.imdb.com/title/tt0129167/,movie,8.1,86.0,1999,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",200131,1999-07-31,Brad Bird,,,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,https://m.media-amazon.com/images/M/MV5BYzBjZTNkMzQtZmNkOC00Yzk0LTljMjktZjk3YWVlZjY3NTk2XkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg,"A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi
Brad Bird","Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi"
862,tt0371724,2022-12-10,2022-12-10,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",The Hitchhiker's Guide to the Galaxy,https://www.imdb.com/title/tt0371724/,movie,6.7,109.0,2005,"Adventure, Comedy, Sci-Fi",200195,2005-04-20,Garth Jennings,,,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",https://m.media-amazon.com/images/M/MV5BZmU5MGU4MjctNjA2OC00N2FhLWFhNWQtMzQyMGI2ZmQ0Y2YyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""
Adventure, Comedy, Sci-Fi
Garth Jennings","Adventure, Comedy, Sci-Fi"
863,tt0081633,2022-12-10,2022-12-10,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",Time Bandits,https://www.imdb.com/title/tt0081633/,movie,6.9,116.0,1981,"Adventure, Comedy, Fantasy, Sci-Fi",64567,1981-07-16,Terry Gilliam,,,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",https://m.media-amazon.com/images/M/MV5BODg1NGYwN2MtNWI0OC00N2RiLWE4YzMtOTlhZTgxNmI3NTM0XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.
Adventure, Comedy, Fantasy, Sci-Fi
Terry Gilliam","Adventure, Comedy, Fantasy, Sci-Fi"
864,tt0094291,2022-12-10,2022-12-10,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",Wall Street,https://www.imdb.com/title/tt0094291/,movie,7.3,126.0,1987,"Crime, Drama",157278,1987-12-11,Oliver Stone,,,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",https://m.media-amazon.com/images/M/MV5BNmEyZGQ4NDQtNTEzZC00MDczLWE4ZTEtYTg0ODg2NTkyMWM3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.
Crime, Drama
Oliver Stone","Crime, Drama"
865,tt0181984,2022-12-10,2022-12-10,"A college dropout, attempting to live up to his father's high standards, gets a job as a broker for a suburban investment firm which puts him on the fast track to success. But the job might not be as legitimate as it first appeared to be.",Boiler Room,https://www.imdb.com/title/tt0181984/,movie,7.0,120.0,2000,"Crime, Drama, Thriller",53900,2000-01-30,Ben Younger,,,"A college dropout, attempting to live up to his father's high standards, gets a job as a broker for a suburban investment firm which puts him on the fast track to success. But the job might not be as legitimate as it first appeared to be.",https://m.media-amazon.com/images/M/MV5BN2I1N2NhODEtYTc5My00ZWExLTljZTMtNTAxYWE0MTYwOWVkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,"A college dropout, attempting to live up to his father's high standards, gets a job as a broker for a suburban investment firm which puts him on the fast track to success. But the job might not be as legitimate as it first appeared to be.
Crime, Drama, Thriller
Ben Younger","Crime, Drama, Thriller"
866,tt0055018,2022-12-10,2022-12-10,A young governess for two children becomes convinced that the house and grounds are haunted.,The Innocents,https://www.imdb.com/title/tt0055018/,movie,7.8,100.0,1961,Horror,31059,1961-11-24,Jack Clayton,,,A young governess for two children becomes convinced that the house and grounds are haunted.,https://m.media-amazon.com/images/M/MV5BNGQyNjBjNTUtNTM1OS00YzcyLWFhNTgtNTU0MDg3NzBlMDQzXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,"A young governess for two children becomes convinced that the house and grounds are haunted.
Horror
Jack Clayton",Horror
867,tt0065150,2022-12-12,2022-12-12,"After the Civil War, ex-Confederate soldiers heading for a new life in Mexico run into ex-Union cavalrymen selling horses to the Mexican government but they must join forces to fight off Mexican bandits and revolutionaries.",The Undefeated,https://www.imdb.com/title/tt0065150/,movie,6.6,119.0,1969,"Action, Adventure, Romance, War, Western",7034,1969-09-25,Andrew V. McLaglen,,,"After the Civil War, ex-Confederate soldiers heading for a new life in Mexico run into ex-Union cavalrymen selling horses to the Mexican government but they must join forces to fight off Mexican bandits and revolutionaries.",https://m.media-amazon.com/images/M/MV5BZDI3YWVjMWItN2M1NS00MzRiLTliODYtNjI2MGIwZjg5ODMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg,"After the Civil War, ex-Confederate soldiers heading for a new life in Mexico run into ex-Union cavalrymen selling horses to the Mexican government but they must join forces to fight off Mexican bandits and revolutionaries.
Action, Adventure, Romance, War, Western
Andrew V. McLaglen","Action, Adventure, Romance, War, Western"
868,tt0425210,2022-12-12,2022-12-12,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Lucky Number Slevin,https://www.imdb.com/title/tt0425210/,movie,7.7,110.0,2006,"Crime, Drama, Thriller",314996,2006-02-24,Paul McGuigan,,,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",https://m.media-amazon.com/images/M/MV5BZjczMWI1YWMtYTZjOS00ZDc5LWE2MWItMTY3ZGUxNzFkNjJmL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.
Crime, Drama, Thriller
Paul McGuigan","Crime, Drama, Thriller"
869,tt0103772,2022-12-13,2022-12-13,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,Basic Instinct,https://www.imdb.com/title/tt0103772/,movie,7.0,127.0,1992,"Drama, Mystery, Thriller",202688,1992-03-18,Paul Verhoeven,,,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,https://m.media-amazon.com/images/M/MV5BZjk0YmJkNjItNDY3Mi00ZWFiLWEwY2EtMDJlZWJlOWZkNzJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
Drama, Mystery, Thriller
Paul Verhoeven","Drama, Mystery, Thriller"
870,tt0117364,2022-12-14,2022-12-14,"An American girl inherits a fortune and falls into a misguided relationship with a gentleman confidence artist whose true nature, including a barbed and covetous disposition, turns her life into a nightmare.",The Portrait of a Lady,https://www.imdb.com/title/tt0117364/,movie,6.2,144.0,1996,"Drama, Romance",12062,1996-08-28,Jane Campion,,,"An American girl inherits a fortune and falls into a misguided relationship with a gentleman confidence artist whose true nature, including a barbed and covetous disposition, turns her life into a nightmare.",https://m.media-amazon.com/images/M/MV5BMWU4ZTgwYmYtZDMwNS00M2YyLTg4NTMtOGIxNWQyMmNiNDUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg,"An American girl inherits a fortune and falls into a misguided relationship with a gentleman confidence artist whose true nature, including a barbed and covetous disposition, turns her life into a nightmare.
Drama, Romance
Jane Campion","Drama, Romance"
871,tt0100151,2022-12-14,2022-12-14,"Philosophical conversations between a poet, politician, and scientist.",Mindwalk,https://www.imdb.com/title/tt0100151/,movie,7.6,112.0,1990,Drama,3132,1990-09-09,Bernt Amadeus Capra,,,"Philosophical conversations between a poet, politician, and scientist.",https://m.media-amazon.com/images/M/MV5BY2JmZjFiODQtNTdhNC00MDg2LWJiNDItYzU0OWIzM2NlYjE5XkEyXkFqcGdeQXVyNTc1NTQxODI@.jpg,"Philosophical conversations between a poet, politician, and scientist.
Drama
Bernt Amadeus Capra",Drama
872,tt12618926,2022-12-14,2022-12-14,The story of two mothers who bond in unexpected way after giving birth the same day.,Madres paralelas,https://www.imdb.com/title/tt12618926/,movie,7.1,123.0,2021,Drama,30207,2021-09-01,Pedro Almodóvar,,,The story of two mothers who bond in unexpected way after giving birth the same day.,https://m.media-amazon.com/images/M/MV5BM2Y2MWIzY2YtZDJiYi00ODM3LWE5NGYtNjlkYWE5ZmMxNTdmXkEyXkFqcGdeQXVyOTgxNDIzMTY@.jpg,"The story of two mothers who bond in unexpected way after giving birth the same day.
Drama
Pedro Almodóvar",Drama
873,tt0090917,2022-12-14,2022-12-14,"After his friend is killed by her abusive father, the new kid in town attempts to save her by implanting a robotic microchip into her brain.",Deadly Friend,https://www.imdb.com/title/tt0090917/,movie,5.5,91.0,1986,"Drama, Horror, Sci-Fi, Thriller",8106,1986-10-10,Wes Craven,,,"After his friend is killed by her abusive father, the new kid in town attempts to save her by implanting a robotic microchip into her brain.",https://m.media-amazon.com/images/M/MV5BNjQ0M2Y3ODktOTZhOC00Yzg4LWE5NGQtMDQyMmRjOWQzYTYxXkEyXkFqcGdeQXVyNTQ4ODA2NzQ@.jpg,"After his friend is killed by her abusive father, the new kid in town attempts to save her by implanting a robotic microchip into her brain.
Drama, Horror, Sci-Fi, Thriller
Wes Craven","Drama, Horror, Sci-Fi, Thriller"
874,tt14208870,2022-12-15,2022-12-15,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",The Fabelmans,https://www.imdb.com/title/tt14208870/,movie,7.8,151.0,2022,Drama,17283,2022-09-10,Steven Spielberg,,,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",https://m.media-amazon.com/images/M/MV5BZGM1MzczNmQtMjBmYS00NTRhLWI0MzctNTFkZDc4OGUyODdjXkEyXkFqcGdeQXVyMjMxOTE0ODA@.jpg,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.
Drama
Steven Spielberg",Drama
875,tt2271563,2022-12-15,2022-12-15,"In 1872, an embittered gunslinger named John Henry Clayton attempts to make amends with his estranged father Reverend Samuel Clayton while their community is besieged by ruthless land-grabbers.",Forsaken,https://www.imdb.com/title/tt2271563/,movie,6.3,90.0,2015,"Action, Drama, Western",12680,2015-09-16,Jon Cassar,,,"In 1872, an embittered gunslinger named John Henry Clayton attempts to make amends with his estranged father Reverend Samuel Clayton while their community is besieged by ruthless land-grabbers.",https://m.media-amazon.com/images/M/MV5BMTc1MTkxNzc5OF5BMl5BanBnXkFtZTgwMDczNTQ3NzE@.jpg,"In 1872, an embittered gunslinger named John Henry Clayton attempts to make amends with his estranged father Reverend Samuel Clayton while their community is besieged by ruthless land-grabbers.
Action, Drama, Western
Jon Cassar","Action, Drama, Western"
